,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.391,-8.850493844,-2.455713992,-1.096993734,-0.458941843,-0.06980839,-0.192784347,-0.138167713,-0.069880635,-0.061377826,-0.088510444,-0.104723424,-0.039799798,-0.051556965,-0.038548697,-0.053077989
0.396,-8.829928064,-2.377278884,-1.075417354,-0.433203126,-0.059026997,-0.189160218,-0.133945172,-0.068477528,-0.05475937,-0.087985158,-0.087051934,-0.036351045,-0.051458265,-0.034399383,-0.052185338
0.400,-6.041581773,-2.368555292,-1.068898671,-0.399036878,-0.050231989,-0.185583751,-0.133207527,-0.064191996,-0.05136348,-0.086750656,-0.086529769,-0.031306196,-0.049478278,-0.033464031,-0.049787585
0.404,-6.001329704,-2.326286399,-1.064553109,-0.387565209,-0.049672822,-0.176766672,-0.130613452,-0.062129305,-0.042550264,-0.079504602,-0.082173952,-0.027803031,-0.047240951,-0.029893105,-0.048410774
0.409,-5.776468111,-2.230275212,-1.007210973,-0.370769086,-0.043428973,-0.17540709,-0.123342692,-0.060704551,-0.041238792,-0.075345546,-0.080597945,-0.025825598,-0.047220007,-0.028681295,-0.045793772
0.413,-5.523399049,-1.852804472,-1.003135377,-0.352077012,-0.039283773,-0.161100714,-0.114917426,-0.060229627,-0.037790661,-0.067625942,-0.077079634,-0.023082416,-0.043503829,-0.027408841,-0.043086521
0.417,-5.476402222,-1.811475509,-0.938406083,-0.349316014,-0.026014879,-0.157862707,-0.113325958,-0.06007075,-0.035385187,-0.067273921,-0.073923131,-0.022470668,-0.043258267,-0.026776113,-0.042844918
0.421,-5.358054128,-1.802998589,-0.932298506,-0.344978275,-0.011938033,-0.140501386,-0.109650453,-0.058826052,-0.027352973,-0.054378623,-0.0734473,-0.022082349,-0.042425758,-0.02570882,-0.040597213
0.426,-5.279589187,-1.786611277,-0.912106268,-0.343348001,-0.002292121,-0.135730984,-0.106952508,-0.056650784,-0.024999411,-0.04987573,-0.072541503,-0.017822105,-0.039892215,-0.019996014,-0.039631752
0.430,-5.191099007,-1.682402139,-0.897120832,-0.307163376,0.000170989,-0.118259066,-0.102018175,-0.051861046,-0.024618706,-0.048939169,-0.066326595,-0.014146683,-0.038415517,-0.012500577,-0.036657627
0.434,-2.905836981,-1.603164568,-0.839887568,-0.28806049,0.005949982,-0.103079317,-0.097902474,-0.051175966,-0.024185005,-0.038607524,-0.054241424,-0.014087413,-0.037587606,-0.012281678,-0.031642518
0.438,-2.343115188,-1.474818864,-0.806896494,-0.287887648,0.008090041,-0.089809503,-0.095321499,-0.04340634,-0.024157933,-0.037065362,-0.05003003,-0.013885932,-0.034110313,-0.010805138,-0.028340236
0.443,-2.299723843,-1.452546568,-0.780699945,-0.267325054,0.008310958,-0.062671566,-0.092442416,-0.040069927,-0.023966772,-0.034205496,-0.045239085,-0.012014274,-0.033916732,-0.007288774,-0.025994554
0.447,-2.042419268,-1.27816282,-0.676122318,-0.264869304,0.009210488,-0.057591404,-0.092051385,-0.039884626,-0.020594278,-0.03254383,-0.044606376,-0.001639438,-0.028947039,-0.00012729,-0.02002356
0.451,-1.966030082,-1.263355791,-0.669575106,-0.257785681,0.013840651,-0.045151678,-0.087449011,-0.033601315,-0.017476484,-0.024785945,-0.043203468,-0.001491633,-0.024161446,0.003421867,-0.019726343
0.455,-1.942531252,-1.181554954,-0.622677351,-0.228122372,0.022430129,-0.041881422,-0.085282587,-0.030135384,-0.014126252,-0.022253398,-0.04153174,0.004059986,-0.02285782,0.004069383,-0.019177644
0.460,-1.915824757,-1.10528102,-0.61513846,-0.216398151,0.026699442,-0.025430945,-0.08391726,-0.026547659,-0.011373768,-0.016849946,-0.040917885,0.004281348,-0.020740136,0.008079826,-0.019032212
0.464,-1.795108382,-1.09827371,-0.580358989,-0.208674964,0.036879443,-0.017813967,-0.072916043,-0.023630932,-0.007684522,-0.015318802,-0.037583962,0.007113437,-0.018700762,0.009819806,-0.018987636
0.468,0.450712867,-1.040920354,-0.481326979,-0.176112065,0.043238684,-0.009318849,-0.069573511,-0.019007949,-0.001004953,-0.014936651,-0.036199376,0.009170141,-0.017424336,0.014097734,-0.017352314
0.472,0.554138571,-0.963652889,-0.427143675,-0.145576706,0.059254666,-0.00351764,-0.06634757,-0.016286434,0.003124322,-0.001778971,-0.033309316,0.009532102,-0.013480789,0.017075902,-0.014146182
0.477,0.714078146,-0.837756823,-0.392816319,-0.134089113,0.065362978,0.003182905,-0.033434431,-0.015854456,0.003792831,0.004288087,-0.032255765,0.009861368,-0.011332161,0.018220741,-0.01074825
0.481,0.999089489,-0.599082984,-0.381119769,-0.132648904,0.073163399,0.047629788,-0.025271923,-0.014394975,0.004285615,0.004865331,-0.024375699,0.010001295,-0.010557345,0.018658802,-0.009407242
0.485,1.25308319,-0.58448435,-0.362109879,-0.120296743,0.073629422,0.057031566,-0.013337971,-0.003350897,0.004669866,0.005941046,-0.024210014,0.015289112,-0.006203283,0.019465143,-0.007785743
0.489,3.548339505,-0.568664994,-0.319655973,-0.112311261,0.076555029,0.058081673,-0.009491264,0.000356741,0.006295953,0.007054416,-0.023361945,0.019949977,-0.002905395,0.021111706,-0.005701449
0.494,3.741917008,-0.414229567,-0.227622887,-0.091515879,0.076839099,0.058727385,-0.006691555,0.003703521,0.006510063,0.009669637,-0.021906036,0.021193197,-0.00118487,0.023575343,-0.004642931
0.498,3.962614259,-0.392630628,-0.179820164,-0.071655224,0.080118416,0.063153249,-0.00083455,0.004571787,0.00991865,0.016220128,-0.014174456,0.023404842,0.000294496,0.024621575,-0.001777384
0.502,4.058013701,-0.386949547,-0.130727592,-0.063505131,0.081564957,0.0685892,0.001872359,0.008319875,0.012576322,0.017701524,-0.012883365,0.023623496,0.002012763,0.026549757,0.001412526
0.506,4.41318184,-0.386621529,-0.107325755,-0.060197984,0.0868503,0.082925496,0.004489479,0.010594208,0.013610049,0.020099409,-0.011971347,0.024711253,0.002246655,0.026938514,0.003194702
0.511,4.730698385,-0.33202816,-0.098960819,-0.056225864,0.086960798,0.09414222,0.013716176,0.016177038,0.016245569,0.023734691,-0.011408003,0.025723082,0.003100479,0.027876317,0.004134924
0.515,5.039980046,-0.271278345,-0.097443149,-0.054061346,0.099073493,0.094388383,0.020543033,0.016769798,0.019372423,0.024842529,-0.009148668,0.026002177,0.005594194,0.030342408,0.008840552
0.519,5.63705212,-0.162510295,-0.055845169,-0.047411013,0.101242163,0.103045336,0.020630636,0.031754856,0.019378048,0.025716807,-0.001613907,0.031294373,0.005919149,0.031504894,0.013740552
0.523,7.126416823,-0.084454871,-0.04923492,-0.042669597,0.106686495,0.109748165,0.023052355,0.033672024,0.025090202,0.028827725,0.000876313,0.031462781,0.007744938,0.031998237,0.014427578
0.528,7.335518508,-0.029121945,-0.040764351,0.027479679,0.130084134,0.114456976,0.03617321,0.044663834,0.028991511,0.028941332,0.004111101,0.032845065,0.009573548,0.033755683,0.015830457
0.532,7.340611274,0.018673174,0.00393902,0.034558362,0.131950388,0.114647991,0.038244552,0.057412266,0.043825661,0.033164894,0.012174026,0.036170954,0.011454132,0.03504985,0.016903894
0.536,7.51520671,0.075468098,0.122006564,0.056846812,0.155904987,0.117343268,0.044772705,0.057436309,0.044401353,0.035998352,0.012442516,0.037368965,0.013209137,0.035259058,0.01718182
